============================================================
  Generated by:           Genus(TM) Synthesis Solution 19.12-s121_1
  Generated on:           Jun 07 2026  12:44:32 pm
  Module:                 top_NUM_HEADS8_TILE_DIM8_D_HEAD8_D_MODEL512_FIFO_D256
  Technology libraries:   typical 
                          physical_cells 
  Operating conditions:   typical 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                       Instance                                             Module                        Cell Count   Cell Area    Net Area     Total Area 
------------------------------------------------------------------------------------------------------------------------------------------------------------
top_NUM_HEADS8_TILE_DIM8_D_HEAD8_D_MODEL512_FIFO_D256                                                        3432394 12258610.850 3479269.455  15737880.305 
  u_compute_core                                      compute_core_NUM_HEADS8_TILE_DIM8_D_HEAD8_D_MODEL5     3432394 12258610.850 3478568.644  15737179.494 
    u_axi_if                                          axi_if_TILE_DIM8_TDATA_W512_FIFO_D256                   384176  2339576.702  459810.682   2799387.384 
      u_out_fifo                                      axis_output_fifo_TDATA_W512_TILE_DIM8_FIFO_D256         382899  2330886.730  458373.705   2789260.435 
    u_c0                                              chiplet_0_qkv_outproj_D_MODEL512_NUM_HEADS8_D_HEAD      424207  1577215.234  437027.252   2014242.486 
      sa_v                                            systolic_array_M8_N8_K8_2                               126336   449718.098  128979.948    578698.047 
        pe_row_g[0].pe_col_g[7].u_add                 fp32_add_pip_135                                          1728     6206.146    1729.402      7935.547 
        pe_row_g[0].pe_col_g[3].u_add                 fp32_add_pip_131                                          1732     6185.403    1738.099      7923.503 
        pe_row_g[0].pe_col_g[2].u_add                 fp32_add_pip_130                                          1724     6180.650    1720.870      7901.520 
        pe_row_g[4].pe_col_g[5].u_add                 fp32_add_pip_165                                          1712     6160.933    1726.508      7887.441 
        pe_row_g[5].pe_col_g[4].u_add                 fp32_add_pip_172                                          1731     6124.399    1730.715      7855.115 
        pe_row_g[6].pe_col_g[1].u_add                 fp32_add_pip_177                                          1700     6082.538    1719.756      7802.295 
        pe_row_g[6].pe_col_g[0].u_add                 fp32_add_pip_176                                          1699     6087.301    1712.771      7800.072 
        pe_row_g[6].pe_col_g[7].u_add                 fp32_add_pip_183                                          1714     6047.629    1732.960      7780.589 
        pe_row_g[7].pe_col_g[2].u_add                 fp32_add_pip_186                                          1735     6049.399    1727.290      7776.688 
        pe_row_g[0].pe_col_g[1].u_add                 fp32_add_pip_129                                          1707     6070.902    1703.475      7774.377 
        pe_row_g[6].pe_col_g[2].u_add                 fp32_add_pip_178                                          1696     6044.491    1713.004      7757.495 
        pe_row_g[2].pe_col_g[5].u_add                 fp32_add_pip_149                                          1710     6023.851    1724.961      7748.813 
        pe_row_g[3].pe_col_g[6].u_add                 fp32_add_pip_158                                          1701     6016.926    1720.671      7737.597 
        pe_row_g[0].pe_col_g[4].u_add                 fp32_add_pip_132                                          1687     6015.335    1714.568      7729.903 
        pe_row_g[5].pe_col_g[3].u_add                 fp32_add_pip_171                                          1713     5992.627    1706.336      7698.962 
        pe_row_g[4].pe_col_g[2].u_add                 fp32_add_pip_162                                          1680     6008.025    1679.578      7687.603 
        pe_row_g[3].pe_col_g[5].u_add                 fp32_add_pip_157                                          1693     5980.306    1705.371      7685.677 
        pe_row_g[2].pe_col_g[4].u_add                 fp32_add_pip_148                                          1683     5960.427    1701.430      7661.857 
        pe_row_g[1].pe_col_g[2].u_add                 fp32_add_pip_138                                          1669     5967.225    1687.344      7654.569 
        pe_row_g[5].pe_col_g[6].u_add                 fp32_add_pip_174                                          1697     5952.134    1691.518      7643.652 
        pe_row_g[7].pe_col_g[0].u_add                 fp32_add_pip_184                                          1648     5974.595    1667.039      7641.633 
        pe_row_g[1].pe_col_g[0].u_add                 fp32_add_pip_136                                          1660     5957.452    1675.154      7632.606 
        pe_row_g[5].pe_col_g[1].u_add                 fp32_add_pip_169                                          1692     5933.871    1698.719      7632.590 
        pe_row_g[6].pe_col_g[5].u_add                 fp32_add_pip_181                                          1681     5961.616    1669.184      7630.800 
        pe_row_g[5].pe_col_g[7].u_add                 fp32_add_pip_175                                          1653     5949.133    1676.934      7626.066 
        pe_row_g[5].pe_col_g[2].u_add                 fp32_add_pip_170                                          1690     5923.355    1687.011      7610.366 
        pe_row_g[7].pe_col_g[5].u_add                 fp32_add_pip_189                                          1653     5926.005    1677.565      7603.570 
        pe_row_g[2].pe_col_g[6].u_add                 fp32_add_pip_150                                          1694     5885.786    1704.140      7589.926 
        pe_row_g[2].pe_col_g[3].u_add                 fp32_add_pip_147                                          1691     5877.988    1705.338      7583.326 
        pe_row_g[7].pe_col_g[4].u_add                 fp32_add_pip_188                                          1666     5900.629    1679.993      7580.622 
        pe_row_g[4].pe_col_g[7].u_add                 fp32_add_pip_167                                          1642     5919.601    1656.844      7576.445 
        pe_row_g[4].pe_col_g[1].u_add                 fp32_add_pip_161                                          1654     5896.345    1678.181      7574.526 
        pe_row_g[4].pe_col_g[0].u_add                 fp32_add_pip_160                                          1657     5893.404    1681.091      7574.495 
        pe_row_g[1].pe_col_g[1].u_add                 fp32_add_pip_137                                          1646     5892.173    1659.788      7551.961 
        pe_row_g[0].pe_col_g[5].u_add                 fp32_add_pip_133                                          1628     5858.503    1659.838      7518.340 
        pe_row_g[2].pe_col_g[7].u_add                 fp32_add_pip_151                                          1684     5822.772    1695.144      7517.916 
        pe_row_g[6].pe_col_g[4].u_add                 fp32_add_pip_180                                          1632     5869.524    1639.283      7508.807 
        pe_row_g[5].pe_col_g[5].u_add                 fp32_add_pip_173                                          1661     5840.266    1667.903      7508.169 
